CLIENT_NAME,BRAND_NAME,Cinema Name,Latitude,Longitude,Radius,Distance Unit,JSON Snippet
Palace Cinemas,Palace Cinemas,Palace Balwyn,-37.8123,145.0784,16,kilometer,"{""latitude"":-37.8123,""longitude"":145.0784,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,The Astor,-37.8584,144.9928,16,kilometer,"{""latitude"":-37.8584,""longitude"":144.9928,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Brighton Bay,-37.8997,144.9996,16,kilometer,"{""latitude"":-37.8997,""longitude"":144.9996,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Cinema Como,-37.8398,144.9942,16,kilometer,"{""latitude"":-37.8398,""longitude"":144.9942,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Kino Cinema,-37.814,144.9723,16,kilometer,"{""latitude"":-37.814,""longitude"":144.9723,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Westgarth,-37.7812,144.9959,16,kilometer,"{""latitude"":-37.7812,""longitude"":144.9959,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Pentridge Cinema,-37.7479,144.9702,16,kilometer,"{""latitude"":-37.7479,""longitude"":144.9702,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Penny Lane,-37.7663,144.9248,16,kilometer,"{""latitude"":-37.7663,""longitude"":144.9248,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Norton Street,-33.8824,151.1565,16,kilometer,"{""latitude"":-33.8824,""longitude"":151.1565,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Central,-33.8841,151.2007,16,kilometer,"{""latitude"":-33.8841,""longitude"":151.2007,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Moore Park,-33.8943,151.2238,16,kilometer,"{""latitude"":-33.8943,""longitude"":151.2238,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Ballina Fair,-28.8601,153.5497,16,kilometer,"{""latitude"":-28.8601,""longitude"":153.5497,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace James St,-27.4586,153.0401,16,kilometer,"{""latitude"":-27.4586,""longitude"":153.0401,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Barracks,-27.4661,153.0152,16,kilometer,"{""latitude"":-27.4661,""longitude"":153.0152,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Byron Bay,-28.6441,153.612,16,kilometer,"{""latitude"":-28.6441,""longitude"":153.612,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Electric,-35.2852,149.1241,16,kilometer,"{""latitude"":-35.2852,""longitude"":149.1241,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Raine Square,-31.9519,115.8562,16,kilometer,"{""latitude"":-31.9519,""longitude"":115.8562,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Regent Ballarat,-37.5615,143.8587,16,kilometer,"{""latitude"":-37.5615,""longitude"":143.8587,""radius"":16,""distance_unit"":""kilometer""}"
Palace Cinemas,Palace Cinemas,Palace Church St,-37.9155,144.9921,16,kilometer,"{""latitude"":-37.9155,""longitude"":144.9921,""radius"":16,""distance_unit"":""kilometer""}"
Moving Story,Lido Cinemas,Lido Cinemas,-37.8208,145.0358,16,kilometer,"{""latitude"":-37.8208,""longitude"":145.0358,""radius"":16,""distance_unit"":""kilometer""}"
Moving Story,Classic Cinemas,Classic Cinemas,-37.8858,145.0005,16,kilometer,"{""latitude"":-37.8858,""longitude"":145.0005,""radius"":16,""distance_unit"":""kilometer""}"
